Date,Total,HK_Residents,Mainland_Visitors,Other_Visitors,Year,Month,Day,DayOfWeek,WeekOfYear,IsWeekend
2024-09-29,115535,57271,26399,31865,2024,9,29,6,39,1
2024-09-30,114918,50916,38595,25407,2024,9,30,0,40,0
2024-10-01,124927,58468,43990,22469,2024,10,1,1,40,0
2024-10-02,103982,44863,35968,23151,2024,10,2,2,40,0
2024-10-03,96258,39459,30279,26520,2024,10,3,3,40,0
2024-10-04,111025,51949,31295,27781,2024,10,4,4,40,0
2024-10-05,118757,54494,36257,28006,2024,10,5,5,40,1
2024-10-06,127410,53983,42849,30578,2024,10,6,6,40,1
2024-10-07,120071,45653,50329,24089,2024,10,7,0,41,0
2024-10-08,109370,48694,35362,25314,2024,10,8,1,41,0
2024-10-09,114918,59555,22929,32434,2024,10,9,2,41,0
2024-10-10,126724,76881,15490,34353,2024,10,10,3,41,0
2024-10-11,121371,74783,11849,34739,2024,10,11,4,41,0
2024-10-12,115866,62118,11770,41978,2024,10,12,5,41,1
2024-10-13,136875,85236,10738,40901,2024,10,13,6,41,1
2024-10-14,128315,74011,12954,41350,2024,10,14,0,42,0
2024-10-15,108548,61885,11615,35048,2024,10,15,1,42,0
2024-10-16,103635,56910,12897,33828,2024,10,16,2,42,0
2024-10-17,104326,56639,12694,34993,2024,10,17,3,42,0
2024-10-18,120494,66547,14503,39444,2024,10,18,4,42,0
2024-10-19,121261,66970,13187,41104,2024,10,19,5,42,1
2024-10-20,131694,72234,14632,44828,2024,10,20,6,42,1
2024-10-21,115148,63176,14029,37943,2024,10,21,0,43,0
2024-10-22,99513,53466,11933,34114,2024,10,22,1,43,0
2024-10-23,104061,54856,13056,36149,2024,10,23,2,43,0
2024-10-24,106183,57280,13048,35855,2024,10,24,3,43,0
2024-10-25,124087,67202,15534,41351,2024,10,25,4,43,0
2024-10-26,122675,65021,14313,43341,2024,10,26,5,43,1
2024-10-27,126146,67042,14947,44157,2024,10,27,6,43,1
2024-10-28,111221,59270,13935,38016,2024,10,28,0,44,0
2024-10-29,96288,50039,12050,34199,2024,10,29,1,44,0
2024-10-30,104534,52366,13037,39131,2024,10,30,2,44,0
2024-10-31,103213,51324,13578,38311,2024,10,31,3,44,0
2024-11-01,118148,61604,13789,42755,2024,11,1,4,44,0
2024-11-02,113155,56829,12519,43807,2024,11,2,5,44,1
2024-11-03,122238,63289,14236,44713,2024,11,3,6,44,1
2024-11-04,117054,59760,13716,43578,2024,11,4,0,45,0
2024-11-05,97579,50554,12223,34802,2024,11,5,1,45,0
2024-11-06,100200,52211,11674,36315,2024,11,6,2,45,0
2024-11-07,105413,56705,12425,36283,2024,11,7,3,45,0
2024-11-08,119532,64542,14816,40174,2024,11,8,4,45,0
2024-11-09,114930,62329,13796,38805,2024,11,9,5,45,1
2024-11-10,126999,68203,15337,43459,2024,11,10,6,45,1
2024-11-11,120510,62315,16032,42163,2024,11,11,0,46,0
2024-11-12,105313,53748,13777,37788,2024,11,12,1,46,0
2024-11-13,104565,54166,12814,37585,2024,11,13,2,46,0
2024-11-14,109980,57875,14208,37897,2024,11,14,3,46,0
2024-11-15,128980,67235,17169,44576,2024,11,15,4,46,0
2024-11-16,123827,63932,15168,44727,2024,11,16,5,46,1
2024-11-17,133803,69310,18181,46312,2024,11,17,6,46,1
2024-11-18,124134,65845,16360,41929,2024,11,18,0,47,0
2024-11-19,102416,54951,12460,35005,2024,11,19,1,47,0
2024-11-20,105360,54991,13652,36717,2024,11,20,2,47,0
2024-11-21,114534,61272,14165,39097,2024,11,21,3,47,0
2024-11-22,126388,69327,15253,41808,2024,11,22,4,47,0
2024-11-23,119150,63711,13278,42161,2024,11,23,5,47,1
2024-11-24,132006,69151,16491,46364,2024,11,24,6,47,1
2024-11-25,121269,65098,14796,41375,2024,11,25,0,48,0
2024-11-26,104394,55751,12640,36003,2024,11,26,1,48,0
2024-11-27,107133,55585,13802,37746,2024,11,27,2,48,0
2024-11-28,112350,59968,14237,38145,2024,11,28,3,48,0
2024-11-29,125698,65744,17208,42746,2024,11,29,4,48,0
2024-11-30,123312,65608,14957,42747,2024,11,30,5,48,1
2024-12-01,131517,69942,16498,45077,2024,12,1,6,48,1
2024-12-02,120339,62983,16594,40762,2024,12,2,0,49,0
2024-12-03,101136,52998,12873,35265,2024,12,3,1,49,0
2024-12-04,103185,53003,13210,36972,2024,12,4,2,49,0
2024-12-05,112042,55751,14829,41462,2024,12,5,3,49,0
2024-12-06,125202,65648,18073,41481,2024,12,6,4,49,0
2024-12-07,121705,61579,15814,44312,2024,12,7,5,49,1
2024-12-08,133091,67486,18207,47398,2024,12,8,6,49,1
2024-12-09,122205,61394,16712,44099,2024,12,9,0,50,0
2024-12-10,109003,54516,14086,40401,2024,12,10,1,50,0
2024-12-11,107942,54649,14533,38760,2024,12,11,2,50,0
2024-12-12,117786,60981,16879,39926,2024,12,12,3,50,0
2024-12-13,132070,73579,18497,39994,2024,12,13,4,50,0
2024-12-14,132796,74451,16313,42032,2024,12,14,5,50,1
2024-12-15,141580,74141,23232,44207,2024,12,15,6,50,1
2024-12-16,132024,71340,18506,42178,2024,12,16,0,51,0
2024-12-17,119715,66527,16816,36372,2024,12,17,1,51,0
2024-12-18,126576,68863,20513,37200,2024,12,18,2,51,0
2024-12-19,136651,78099,17764,40788,2024,12,19,3,51,0
2024-12-20,150168,91050,18345,40773,2024,12,20,4,51,0
2024-12-21,156127,98272,16963,40892,2024,12,21,5,51,1
2024-12-22,151196,90096,17812,43288,2024,12,22,6,51,1
2024-12-23,145722,82845,18056,44821,2024,12,23,0,52,0
2024-12-24,135771,82878,14312,38581,2024,12,24,1,52,0
2024-12-25,138817,82479,12720,43618,2024,12,25,2,52,0
2024-12-26,151391,89850,14903,46638,2024,12,26,3,52,0
2024-12-27,148963,84562,15335,49066,2024,12,27,4,52,0
2024-12-28,148338,80987,14901,52450,2024,12,28,5,52,1
2024-12-29,153531,90436,13309,49786,2024,12,29,6,52,1
2024-12-30,142997,79028,12839,51130,2024,12,30,0,1,0
2024-12-31,134771,78526,13714,42531,2024,12,31,1,1,0
2025-01-01,149312,84755,16313,48244,2025,1,1,2,1,0
2025-01-02,137409,70767,14500,52142,2025,1,2,3,1,0
2025-01-03,130239,66114,14577,49548,2025,1,3,4,1,0
2025-01-04,133273,72280,15379,45614,2025,1,4,5,1,1
2025-01-05,143617,76364,20973,46280,2025,1,5,6,1,1
2025-01-06,128712,67531,18353,42828,2025,1,6,0,2,0
2025-01-07,107991,52755,16256,38980,2025,1,7,1,2,0
2025-01-08,105905,50852,17125,37928,2025,1,8,2,2,0
2025-01-09,110834,50977,19663,40194,2025,1,9,3,2,0
2025-01-10,123533,58198,21777,43558,2025,1,10,4,2,0
2025-01-11,122099,56631,21562,43906,2025,1,11,5,2,1
2025-01-12,130808,62170,23767,44871,2025,1,12,6,2,1
2025-01-13,123173,56162,23064,43947,2025,1,13,0,3,0
2025-01-14,109307,48833,23030,37444,2025,1,14,1,3,0
2025-01-15,114675,49799,25211,39665,2025,1,15,2,3,0
2025-01-16,119532,50660,28821,40051,2025,1,16,3,3,0
2025-01-17,128847,56077,30419,42351,2025,1,17,4,3,0
2025-01-18,127042,52590,32925,41527,2025,1,18,5,3,1
2025-01-19,132904,55314,33856,43734,2025,1,19,6,3,1
2025-01-20,126669,52281,34824,39564,2025,1,20,0,4,0
2025-01-21,113411,43988,33619,35804,2025,1,21,1,4,0
2025-01-22,122085,50026,35865,36194,2025,1,22,2,4,0
2025-01-23,129153,57584,35199,36370,2025,1,23,3,4,0
2025-01-24,146782,78092,31796,36894,2025,1,24,4,4,0
2025-01-25,149921,81223,31283,37415,2025,1,25,5,4,1
2025-01-26,146276,72998,34866,38412,2025,1,26,6,4,1
2025-01-27,140583,64827,37146,38610,2025,1,27,0,5,0
2025-01-28,125138,70987,23330,30821,2025,1,28,1,5,0
2025-01-29,123757,67551,25061,31145,2025,1,29,2,5,0
2025-01-30,125231,63461,31878,29892,2025,1,30,3,5,0
2025-01-31,140186,74121,34139,31926,2025,1,31,4,5,0
2025-02-01,148912,88935,29144,30833,2025,2,1,5,5,1
2025-02-02,157978,98896,27677,31405,2025,2,2,6,5,1
2025-02-03,150553,86920,35335,28298,2025,2,3,0,6,0
2025-02-04,136664,76502,36130,24032,2025,2,4,1,6,0
2025-02-05,129738,72523,31944,25271,2025,2,5,2,6,0
2025-02-06,120304,61100,32523,26681,2025,2,6,3,6,0
2025-02-07,123358,59654,32187,31517,2025,2,7,4,6,0
2025-02-08,121119,62598,26897,31624,2025,2,8,5,6,1
2025-02-09,131693,68458,28102,35133,2025,2,9,6,6,1
2025-02-10,118780,54607,28608,35565,2025,2,10,0,7,0
2025-02-11,105354,45523,25535,34296,2025,2,11,1,7,0
2025-02-12,102957,46277,20726,35954,2025,2,12,2,7,0
2025-02-13,107903,49875,20308,37720,2025,2,13,3,7,0
2025-02-14,115775,54311,19759,41705,2025,2,14,4,7,0
2025-02-15,116825,55485,17911,43429,2025,2,15,5,7,1
2025-02-16,128033,59687,18894,49452,2025,2,16,6,7,1
2025-02-17,116685,54583,17666,44436,2025,2,17,0,8,0
2025-02-18,100877,46335,15015,39527,2025,2,18,1,8,0
2025-02-19,100479,46448,14640,39391,2025,2,19,2,8,0
2025-02-20,105321,48097,15371,41853,2025,2,20,3,8,0
2025-02-21,123419,56056,17049,50314,2025,2,21,4,8,0
2025-02-22,115484,52733,14607,48144,2025,2,22,5,8,1
2025-02-23,125219,58269,17299,49651,2025,2,23,6,8,1
2025-02-24,117059,53945,14780,48334,2025,2,24,0,9,0
2025-02-25,97697,45191,12170,40336,2025,2,25,1,9,0
2025-02-26,99418,45408,13436,40574,2025,2,26,2,9,0
2025-02-27,105027,46792,13818,44417,2025,2,27,3,9,0
2025-02-28,123170,56966,16422,49782,2025,2,28,4,9,0
2025-03-01,115996,54489,14835,46672,2025,3,1,5,9,1
2025-03-02,126725,58400,16987,51338,2025,3,2,6,9,1
2025-03-03,112583,50883,15577,46123,2025,3,3,0,10,0
2025-03-04,89851,42659,11857,35335,2025,3,4,1,10,0
2025-03-05,95295,46176,13321,35798,2025,3,5,2,10,0
2025-03-06,99632,48602,14080,36950,2025,3,6,3,10,0
2025-03-07,116346,59210,16276,40860,2025,3,7,4,10,0
2025-03-08,111673,57076,13899,40698,2025,3,8,5,10,1
2025-03-09,123440,62534,16809,44097,2025,3,9,6,10,1
2025-03-10,111474,56415,15265,39794,2025,3,10,0,11,0
2025-03-11,96283,49404,12175,34704,2025,3,11,1,11,0
2025-03-12,96017,48130,13155,34732,2025,3,12,2,11,0
2025-03-13,103659,52315,14038,37306,2025,3,13,3,11,0
2025-03-14,119946,60341,16396,43209,2025,3,14,4,11,0
2025-03-15,113687,57296,14110,42281,2025,3,15,5,11,1
2025-03-16,127274,63689,17655,45930,2025,3,16,6,11,1
2025-03-17,115230,58317,15956,40957,2025,3,17,0,12,0
2025-03-18,100601,50134,14154,36313,2025,3,18,1,12,0
2025-03-19,103348,50626,14550,38172,2025,3,19,2,12,0
2025-03-20,114182,54192,16502,43488,2025,3,20,3,12,0
2025-03-21,124170,61857,17986,44327,2025,3,21,4,12,0
2025-03-22,117347,57232,15944,44171,2025,3,22,5,12,1
2025-03-23,132265,64398,18718,49149,2025,3,23,6,12,1
2025-03-24,122395,61544,17438,43413,2025,3,24,0,13,0
2025-03-25,109889,54592,16050,39247,2025,3,25,1,13,0
2025-03-26,114274,53546,16025,44703,2025,3,26,2,13,0
2025-03-27,115698,55127,16666,43905,2025,3,27,3,13,0
2025-03-28,129380,63251,18941,47188,2025,3,28,4,13,0
2025-03-29,125012,61069,17328,46615,2025,3,29,5,13,1
2025-03-30,129918,63257,18643,48018,2025,3,30,6,13,1
2025-03-31,121659,60059,16183,45417,2025,3,31,0,14,0
2025-04-01,108149,54025,14848,39276,2025,4,1,1,14,0
2025-04-02,110632,53234,15795,41603,2025,4,2,2,14,0
2025-04-03,131562,70285,19446,41831,2025,4,3,3,14,0
2025-04-04,128565,66943,18620,43002,2025,4,4,4,14,0
2025-04-05,117125,56305,14683,46137,2025,4,5,5,14,1
2025-04-06,148401,77372,21519,49510,2025,4,6,6,14,1
2025-04-07,131843,67984,20928,42931,2025,4,7,0,15,0
2025-04-08,114691,59714,19369,35608,2025,4,8,1,15,0
2025-04-09,113793,55878,18748,39167,2025,4,9,2,15,0
2025-04-10,122534,63374,19633,39527,2025,4,10,3,15,0
2025-04-11,138510,79718,18225,40567,2025,4,11,4,15,0
2025-04-12,137854,80136,15679,42039,2025,4,12,5,15,1
2025-04-13,145893,81087,19141,45665,2025,4,13,6,15,1
2025-04-14,133891,75058,16579,42254,2025,4,14,0,16,0
2025-04-15,132364,78838,15017,38509,2025,4,15,1,16,0
2025-04-16,142447,91528,13583,37336,2025,4,16,2,16,0
2025-04-17,152822,104783,12646,35393,2025,4,17,3,16,0
2025-04-18,155406,101547,13358,40501,2025,4,18,4,16,0
2025-04-19,143488,87689,13326,42473,2025,4,19,5,16,1
2025-04-20,158355,99447,14779,44129,2025,4,20,6,16,1
2025-04-21,163086,118297,11025,33764,2025,4,21,0,17,0
2025-04-22,151575,106162,11026,34387,2025,4,22,1,17,0
2025-04-23,138626,87576,12755,38295,2025,4,23,2,17,0
2025-04-24,128160,76595,15022,36543,2025,4,24,3,17,0
2025-04-25,135395,78697,17623,39075,2025,4,25,4,17,0
2025-04-26,137756,79666,18295,39795,2025,4,26,5,17,1
2025-04-27,141422,81469,19131,40822,2025,4,27,6,17,1
2025-04-28,119330,60991,21948,36391,2025,4,28,0,18,0
2025-04-29,124941,59315,28101,37525,2025,4,29,1,18,0
2025-04-30,139360,69620,33239,36501,2025,4,30,2,18,0
2025-05-01,147468,72416,33375,41677,2025,5,1,3,18,0
2025-05-02,121279,55192,27323,38764,2025,5,2,4,18,0
2025-05-03,123310,55874,22618,44818,2025,5,3,5,18,1
2025-05-04,137983,62250,31744,43989,2025,5,4,6,18,1
2025-05-05,145666,78090,31793,35783,2025,5,5,0,19,0
2025-05-06,131288,63801,28096,39391,2025,5,6,1,19,0
2025-05-07,111388,55806,22181,33401,2025,5,7,2,19,0
2025-05-08,103935,52480,17456,33999,2025,5,8,3,19,0
2025-05-09,109969,55606,18228,36135,2025,5,9,4,19,0
2025-05-10,108223,56298,17250,34675,2025,5,10,5,19,1
2025-05-11,119581,62603,19739,37239,2025,5,11,6,19,1
2025-05-12,116991,57917,17775,41299,2025,5,12,0,20,0
2025-05-13,100416,52698,14730,32988,2025,5,13,1,20,0
2025-05-14,100617,51749,15226,33642,2025,5,14,2,20,0
2025-05-15,106158,56588,15640,33930,2025,5,15,3,20,0
2025-05-16,118665,64934,17681,36050,2025,5,16,4,20,0
2025-05-17,114284,64122,16089,34073,2025,5,17,5,20,1
2025-05-18,126406,68610,20084,37712,2025,5,18,6,20,1
2025-05-19,117038,61442,18230,37366,2025,5,19,0,21,0
2025-05-20,102440,55760,15400,31280,2025,5,20,1,21,0
2025-05-21,100695,54646,15506,30543,2025,5,21,2,21,0
2025-05-22,104728,56440,16612,31676,2025,5,22,3,21,0
2025-05-23,121045,66377,18770,35898,2025,5,23,4,21,0
2025-05-24,118115,64515,18703,34897,2025,5,24,5,21,1
2025-05-25,126233,69977,19541,36715,2025,5,25,6,21,1
2025-05-26,113994,62457,17963,33574,2025,5,26,0,22,0
2025-05-27,101101,55660,15637,29804,2025,5,27,1,22,0
2025-05-28,103148,53732,17047,32369,2025,5,28,2,22,0
2025-05-29,109478,53211,19389,36878,2025,5,29,3,22,0
2025-05-30,128263,62778,25212,40273,2025,5,30,4,22,0
2025-05-31,120781,59793,23257,37731,2025,5,31,5,22,1
2025-06-01,121863,66793,14745,40325,2025,6,1,6,22,1
2025-06-02,120090,57070,27760,35260,2025,6,2,0,23,0
2025-06-03,107105,51158,22829,33118,2025,6,3,1,23,0
2025-06-04,96362,48787,17385,30190,2025,6,4,2,23,0
2025-06-05,97607,49452,16212,31943,2025,6,5,3,23,0
2025-06-06,111393,58504,16846,36043,2025,6,6,4,23,0
2025-06-07,107869,56675,16177,35017,2025,6,7,5,23,1
2025-06-08,119920,63306,17967,38647,2025,6,8,6,23,1
2025-06-09,110486,58466,16237,35783,2025,6,9,0,24,0
2025-06-10,97954,51376,16092,30486,2025,6,10,1,24,0
2025-06-11,97601,51285,15784,30532,2025,6,11,2,24,0
2025-06-12,101249,52431,16210,32608,2025,6,12,3,24,0
2025-06-13,111948,59346,18258,34344,2025,6,13,4,24,0
2025-06-14,114739,60934,17397,36408,2025,6,14,5,24,1
2025-06-15,122233,65510,18602,38121,2025,6,15,6,24,1
2025-06-16,113831,60960,18661,34210,2025,6,16,0,25,0
2025-06-17,103520,54589,17637,31294,2025,6,17,1,25,0
2025-06-18,107776,55711,18725,33340,2025,6,18,2,25,0
2025-06-19,108603,56705,18454,33444,2025,6,19,3,25,0
2025-06-20,123829,66938,19493,37398,2025,6,20,4,25,0
2025-06-21,120343,65158,18998,36187,2025,6,21,5,25,1
2025-06-22,129889,69367,20287,40235,2025,6,22,6,25,1
2025-06-23,120358,63872,20044,36442,2025,6,23,0,26,0
2025-06-24,109561,57341,19942,32278,2025,6,24,1,26,0
2025-06-25,114250,60397,20393,33460,2025,6,25,2,26,0
2025-06-26,123748,67716,20889,35143,2025,6,26,3,26,0
2025-06-27,142018,83138,21475,37405,2025,6,27,4,26,0
2025-06-28,140580,83531,22194,34855,2025,6,28,5,26,1
2025-06-29,140767,75054,25152,40561,2025,6,29,6,26,1
2025-06-30,128886,70806,22436,35644,2025,6,30,0,27,0
2025-07-01,128897,82563,17506,28828,2025,7,1,1,27,0
2025-07-02,120028,69074,19405,31549,2025,7,2,2,27,0
2025-07-03,111723,58388,21055,32280,2025,7,3,3,27,0
2025-07-04,119098,61360,22215,35523,2025,7,4,4,27,0
2025-07-05,116701,59076,24606,33019,2025,7,5,5,27,1
2025-07-06,127676,67690,23341,36645,2025,7,6,6,27,1
2025-07-07,115745,57508,23909,34328,2025,7,7,0,28,0
2025-07-08,105251,51101,23525,30625,2025,7,8,1,28,0
2025-07-09,107655,50826,24127,32702,2025,7,9,2,28,0
2025-07-10,111474,53390,24145,33939,2025,7,10,3,28,0
2025-07-11,127209,66263,25910,35036,2025,7,11,4,28,0
2025-07-12,123666,63316,27388,32962,2025,7,12,5,28,1
2025-07-13,133828,68576,27765,37487,2025,7,13,6,28,1
2025-07-14,121341,62027,26435,32879,2025,7,14,0,29,0
2025-07-15,113766,59083,24634,30049,2025,7,15,1,29,0
2025-07-16,115993,61495,24262,30236,2025,7,16,2,29,0
2025-07-17,119026,63090,24396,31540,2025,7,17,3,29,0
2025-07-18,134354,72679,26666,35009,2025,7,18,4,29,0
2025-07-19,142383,77930,28616,35837,2025,7,19,5,29,1
2025-07-20,49869,25840,9790,14239,2025,7,20,6,29,1
2025-07-21,164851,89699,30265,44887,2025,7,21,0,30,0
2025-07-22,138902,77879,27184,33839,2025,7,22,1,30,0
2025-07-23,125431,69996,24449,30986,2025,7,23,2,30,0
2025-07-24,126225,69637,24300,32288,2025,7,24,3,30,0
2025-07-25,140310,79006,25281,36023,2025,7,25,4,30,0
2025-07-26,142092,79499,26870,35723,2025,7,26,5,30,1
2025-07-27,149136,83056,27456,38624,2025,7,27,6,30,1
2025-07-28,139487,77115,25775,36597,2025,7,28,0,31,0
2025-07-29,126813,69127,25844,31842,2025,7,29,1,31,0
2025-07-30,129633,72313,24178,33142,2025,7,30,2,31,0
2025-07-31,137350,78174,26776,32400,2025,7,31,3,31,0
2025-08-01,146473,85140,27243,34090,2025,8,1,4,31,0
2025-08-02,136490,77336,27110,32044,2025,8,2,5,31,1
2025-08-03,150978,86868,28894,35216,2025,8,3,6,31,1
2025-08-04,137727,79754,26239,31734,2025,8,4,0,32,0
2025-08-05,122686,66705,26421,29560,2025,8,5,1,32,0
2025-08-06,137578,79028,27788,30762,2025,8,6,2,32,0
2025-08-07,135661,76721,27893,31047,2025,8,7,3,32,0
2025-08-08,143728,80114,28563,35051,2025,8,8,4,32,0
2025-08-09,146244,79562,29004,37678,2025,8,9,5,32,1
2025-08-10,152434,85545,28842,38047,2025,8,10,6,32,1
2025-08-11,144903,79321,28802,36780,2025,8,11,0,33,0
2025-08-12,134151,71009,27089,36053,2025,8,12,1,33,0
2025-08-13,131357,69668,27503,34186,2025,8,13,2,33,0
2025-08-14,126633,64183,25651,36799,2025,8,14,3,33,0
2025-08-15,156402,83014,30920,42468,2025,8,15,4,33,0
2025-08-16,145497,75345,29503,40649,2025,8,16,5,33,1
2025-08-17,149174,78451,29468,41255,2025,8,17,6,33,1
2025-08-18,139502,75066,28139,36297,2025,8,18,0,34,0
2025-08-19,129734,69247,28333,32154,2025,8,19,1,34,0
2025-08-20,130475,69238,28789,32448,2025,8,20,2,34,0
2025-08-21,131100,69206,28319,33575,2025,8,21,3,34,0
2025-08-22,142576,75640,29782,37154,2025,8,22,4,34,0
2025-08-23,139231,74754,28616,35861,2025,8,23,5,34,1
2025-08-24,149640,81815,29145,38680,2025,8,24,6,34,1
2025-08-25,138133,76341,26111,35681,2025,8,25,0,35,0
2025-08-26,127347,69749,25708,31890,2025,8,26,1,35,0
2025-08-27,122200,65479,24788,31933,2025,8,27,2,35,0
2025-08-28,121119,65095,24205,31819,2025,8,28,3,35,0
2025-08-29,130441,70552,26094,33795,2025,8,29,4,35,0
2025-08-30,122294,66442,22843,33009,2025,8,30,5,35,1
2025-08-31,131564,74040,22414,35110,2025,8,31,6,35,1
2025-09-01,107939,56740,19480,31719,2025,9,1,0,36,0
2025-09-02,93908,45656,18363,29889,2025,9,2,1,36,0
2025-09-03,86906,42972,16399,27535,2025,9,3,2,36,0
2025-09-04,89751,44814,16951,27986,2025,9,4,3,36,0
2025-09-05,107854,53655,19053,35146,2025,9,5,4,36,0
2025-09-06,100957,50130,17774,33053,2025,9,6,5,36,1
2025-09-07,114503,57152,20502,36849,2025,9,7,6,36,1
2025-09-08,89669,43994,15613,30062,2025,9,8,0,37,0
2025-09-09,101711,51233,16729,33749,2025,9,9,1,37,0
2025-09-10,93275,46389,15240,31646,2025,9,10,2,37,0
2025-09-11,97382,48416,17250,31716,2025,9,11,3,37,0
2025-09-12,115205,57581,19842,37782,2025,9,12,4,37,0
2025-09-13,109167,53722,17166,38279,2025,9,13,5,37,1
2025-09-14,122771,60910,19845,42016,2025,9,14,6,37,1
2025-09-15,113595,54909,18429,40257,2025,9,15,0,38,0
2025-09-16,99584,47750,16988,34846,2025,9,16,1,38,0
2025-09-17,97661,47928,16975,32758,2025,9,17,2,38,0
2025-09-18,104584,52696,17287,34601,2025,9,18,3,38,0
2025-09-19,117857,58946,18842,40069,2025,9,19,4,38,0
2025-09-20,116053,54853,18324,42876,2025,9,20,5,38,1
2025-09-21,129119,63475,20272,45372,2025,9,21,6,38,1
2025-09-22,128709,67885,19002,41822,2025,9,22,0,39,0
2025-09-23,53042,27117,7740,18185,2025,9,23,1,39,0
2025-09-24,211,131,25,55,2025,9,24,2,39,0
2025-09-25,119369,61146,18024,40199,2025,9,25,3,39,0
2025-09-26,142677,75331,23500,43846,2025,9,26,4,39,0
2025-09-27,130874,64106,28208,38560,2025,9,27,5,39,1
2025-09-28,124275,59852,26713,37710,2025,9,28,6,39,1
2025-09-29,119644,48159,34859,36626,2025,9,29,0,40,0
2025-09-30,128028,54998,43578,29452,2025,9,30,1,40,0
2025-10-01,134513,58726,48079,27708,2025,10,1,2,40,0
2025-10-02,119779,46598,42137,31044,2025,10,2,3,40,0
2025-10-03,122393,53613,33306,35474,2025,10,3,4,40,0
2025-10-04,126905,59367,32539,34999,2025,10,4,5,40,1
2025-10-05,129775,55920,36529,37326,2025,10,5,6,40,1
2025-10-06,126598,50637,39659,36302,2025,10,6,0,41,0
2025-10-07,138973,67625,41246,30102,2025,10,7,1,41,0
2025-10-08,133287,53041,49614,30632,2025,10,8,2,41,0
2025-10-09,121786,50748,35073,35965,2025,10,9,3,41,0
2025-10-10,124745,57092,23422,44231,2025,10,10,4,41,0
2025-10-11,119981,59691,17121,43169,2025,10,11,5,41,1
2025-10-12,132651,68019,18955,45677,2025,10,12,6,41,1
2025-10-13,126675,63072,16204,47399,2025,10,13,0,42,0
2025-10-14,114323,56137,15526,42660,2025,10,14,1,42,0
2025-10-15,111552,55972,15585,39995,2025,10,15,2,42,0
2025-10-16,114934,58138,15959,40837,2025,10,16,3,42,0
2025-10-17,133071,69835,17536,45700,2025,10,17,4,42,0
2025-10-18,127879,66294,15791,45794,2025,10,18,5,42,1
2025-10-19,136867,69902,16814,50151,2025,10,19,6,42,1
2025-10-20,127789,65280,16787,45722,2025,10,20,0,43,0
2025-10-21,113842,55359,15783,42700,2025,10,21,1,43,0
2025-10-22,117021,57026,15235,44760,2025,10,22,2,43,0
2025-10-23,126622,61617,16715,48290,2025,10,23,3,43,0
2025-10-24,141004,75229,17245,48530,2025,10,24,4,43,0
2025-10-25,135856,72902,15461,47493,2025,10,25,5,43,1
2025-10-26,143240,69973,18037,55230,2025,10,26,6,43,1
2025-10-27,129009,63839,16310,48860,2025,10,27,0,44,0
2025-10-28,119491,64403,14145,40943,2025,10,28,1,44,0
2025-10-29,132867,77479,13616,41772,2025,10,29,2,44,0
2025-10-30,121786,59240,16309,46237,2025,10,30,3,44,0
2025-10-31,132515,66368,17316,48831,2025,10,31,4,44,0
2025-11-01,129872,70149,14841,44882,2025,11,1,5,44,1
2025-11-02,145715,81136,15919,48660,2025,11,2,6,44,1
2025-11-03,129727,67870,15453,46404,2025,11,3,0,45,0
2025-11-04,111704,56432,14403,40869,2025,11,4,1,45,0
2025-11-05,110985,54321,14604,42060,2025,11,5,2,45,0
2025-11-06,113518,57597,15055,40866,2025,11,6,3,45,0
2025-11-07,129185,65491,18069,45625,2025,11,7,4,45,0
2025-11-08,125197,64597,15688,44912,2025,11,8,5,45,1
2025-11-09,133160,68247,17027,47886,2025,11,9,6,45,1
2025-11-10,125347,62025,16998,46324,2025,11,10,0,46,0
2025-11-11,111664,54789,15201,41674,2025,11,11,1,46,0
2025-11-12,110181,53430,16175,40576,2025,11,12,2,46,0
2025-11-13,118229,58890,17206,42133,2025,11,13,3,46,0
2025-11-14,138323,69931,18860,49532,2025,11,14,4,46,0
2025-11-15,130986,65632,17765,47589,2025,11,15,5,46,1
2025-11-16,140248,69535,19669,51044,2025,11,16,6,46,1
2025-11-17,131461,66063,17516,47882,2025,11,17,0,47,0
2025-11-18,113666,56083,15598,41985,2025,11,18,1,47,0
2025-11-19,115467,56142,16022,43303,2025,11,19,2,47,0
2025-11-20,123337,61064,16460,45813,2025,11,20,3,47,0
2025-11-21,136487,66816,17921,51750,2025,11,21,4,47,0
2025-11-22,126953,62577,16275,48101,2025,11,22,5,47,1
2025-11-23,137942,69330,17965,50647,2025,11,23,6,47,1
2025-11-24,126884,60940,16651,49293,2025,11,24,0,48,0
2025-11-25,112735,55762,15488,41485,2025,11,25,1,48,0
2025-11-26,120213,59752,17268,43193,2025,11,26,2,48,0
2025-11-27,120709,59408,17577,43724,2025,11,27,3,48,0
2025-11-28,136805,67362,21464,47979,2025,11,28,4,48,0
2025-11-29,130571,64938,19021,46612,2025,11,29,5,48,1
2025-11-30,142983,69867,21994,51122,2025,11,30,6,48,1
2025-12-01,129675,64467,19522,45686,2025,12,1,0,49,0
2025-12-02,111124,55497,16216,39411,2025,12,2,1,49,0
2025-12-03,113373,55489,16424,41460,2025,12,3,2,49,0
2025-12-04,119507,58504,17479,43524,2025,12,4,3,49,0
2025-12-05,138897,67975,21675,49247,2025,12,5,4,49,0
2025-12-06,133552,64840,19868,48844,2025,12,6,5,49,1
2025-12-07,140501,66255,21301,52945,2025,12,7,6,49,1
